"Gender";"Country";"Age";"EmploymentStatus";"CurrentJobTitle";"LanguageRecommendation";"FormalEducation";"Major";"CompensationAmount";"CompensationCurrency";"TimeGatheringData";"TimeModelBuilding";"TimeProduction";"TimeVisualizing";"TimeFindingInsights";"TimeOtherSelect";"ExchangeRate"
"Male";"Spain";38;"Employed full-time";"Data Scientist";"R";"Doctoral degree";"Computer Science";36000;"EUR";40;20;10;20;10;0;1,195826
"Male";"United States";40;"Employed full-time";"Scientist/Researcher";"Python";"Doctoral degree";"Physics";215000;"USD";60;20;0;20;0;0;1
"Male";"United States";25;"Employed full-time";"Engineer";"Python";"Master's degree";"Engineering (non-computer focused)";61000;"HKD";70;15;5;5;5;0;0,127998
"Male";"Germany";44;"Employed full-time";"Other";"Python";"Master's degree";"A humanities discipline";65000;"EUR";60;0;20;20;0;0;1,195826
"Female";"United States";31;"Employed full-time";"Scientist/Researcher";"R";"Doctoral degree";"Engineering (non-computer focused)";83500;"USD";30;30;10;10;20;0;1
"Female";"United States";39;"Employed full-time";"Predictive Modeler";"R";"Master's degree";"Engineering (non-computer focused)";115000;"USD";80;10;5;5;0;0;1
"Male";"Hungary";40;"Employed full-time";"Researcher";"R";"Doctoral degree";"A social science";4e+06;"HUF";35;10;0;30;25;0;0,003896
"Female";"United States";30;"Employed full-time";"Business Analyst";"Python";"Bachelor's degree";"";80000;"USD";60;10;10;10;10;0;1
"Male";"United States";50;"Employed full-time";"Predictive Modeler";"R";"Doctoral degree";"Mathematics or statistics";135000;"USD";20;25;10;25;20;0;1
"Male";"United States";59;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"Master's degree";"Physics";75000;"USD";60;10;10;10;10;0;1
"Male";"United States";68;"Employed full-time";"Engineer";"Python";"Master's degree";"Electrical Engineering";190000;"";15;40;20;20;5;0;NA
"Male";"Spain";34;"Employed full-time";"Software Developer/Software Engineer";"Python";"Professional degree";"";80000;"EUR";10;40;30;10;10;0;1,195826
"Male";"Brazil";25;"Employed full-time";"Computer Scientist";"Python";"Master's degree";"Computer Science";1500;"BRL";20;70;0;0;10;0;0,32135
"Male";"Brazil";32;"Employed full-time";"Scientist/Researcher";"Python";"Master's degree";"Computer Science";25000;"BRL";25;10;40;20;5;0;0,32135
"Male";"Hungary";38;"Employed full-time";"Researcher";"Python";"Bachelor's degree";"Computer Science";372000;"HUF";20;10;0;50;20;0;0,003896
"Male";"United States";25;"Employed full-time";"Business Analyst";"R";"Master's degree";"Engineering (non-computer focused)";45000;"";70;20;5;5;0;0;NA
"Male";"Other";28;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"Bachelor's degree";"Physics";10000;"USD";80;5;3;2;10;0;1
"Male";"Brazil";38;"Employed full-time";"Programmer";"Python";"Bachelor's degree";"Information technology, networking, or system administration";60000;"BRL";80;20;0;0;0;0;0,32135
"Male";"Russia";31;"Independent contractor, freelancer, or self-employed";"Business Analyst";"R";"Some college/university study without earning a bachelor's degree";"Computer Science";840000;"RUB";15;40;30;0;15;0;0,017402
"Female";"United Kingdom";31;"Employed full-time";"Data Analyst";"SQL";"Doctoral degree";"A social science";29000;"GBP";60;4;3;3;30;0;1,324188
"Male";"United States";27;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"Some college/university study without earning a bachelor's degree";"A social science";80000;"";40;15;0;25;20;0;NA
"Male";"United Kingdom";30;"Employed full-time";"Data Analyst";"SQL";"Bachelor's degree";"A social science";45000;"GBP";60;10;10;10;10;0;1,324188
"Male";"Spain";37;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"Master's degree";"Electrical Engineering";12000;"EUR";40;30;20;10;0;0;1,195826
"Male";"United States";27;"Employed full-time";"Other";"SQL";"Bachelor's degree";"";55000;"USD";25;25;50;0;0;0;1
"Male";"France";26;"Employed full-time";"Scientist/Researcher";"R";"Master's degree";"A health science";25000;"EUR";80;0;15;5;0;0;1,195826
"A different identity";"Canada";23;"Employed full-time";"Scientist/Researcher";"Python";"Bachelor's degree";"Electrical Engineering";85000;"USD";20;40;0;20;20;0;1
"Male";"India";23;"Employed full-time";"Engineer";"Python";"Master's degree";"Computer Science";360000;"INR";25;40;10;10;15;0;0,01562
"Male";"Denmark";29;"Employed full-time";"Scientist/Researcher";"R";"Doctoral degree";"Mathematics or statistics";66390;"";30;40;0;25;5;0;NA
"Female";"United States";31;"Employed full-time";"Data Scientist";"R";"Master's degree";"Fine arts or performing arts";79000;"USD";70;15;0;15;0;0;1
"Male";"United States";50;"Employed full-time";"Scientist/Researcher";"Python";"Doctoral degree";"Physics";305000;"USD";30;30;30;0;0;10;1
"Male";"Finland";31;"Employed full-time";"Data Scientist";"SAS";"Bachelor's degree";"Mathematics or statistics";90000;"";40;25;5;5;25;0;NA
"Male";"New Zealand";30;"Employed full-time";"Data Analyst";"R";"Bachelor's degree";"Computer Science";90000;"NZD";60;10;10;10;10;0;0,727801
"Male";"France";24;"Employed full-time";"Data Scientist";"R";"Master's degree";"Mathematics or statistics";40000;"EUR";60;20;0;10;10;0;1,195826
"Male";"Netherlands";26;"Employed full-time";"Business Analyst";"Python";"Master's degree";"Information technology, networking, or system administration";35000;"EUR";40;20;5;15;20;0;1,195826
"Male";"Chile";37;"Employed full-time";"Software Developer/Software Engineer";"Python";"Professional degree";"";8e+05;"CLP";80;10;0;10;0;0;0,001606
"Female";"Germany";24;"Employed part-time";"Scientist/Researcher";"R";"Bachelor's degree";"";480;"EUR";0;0;0;0;0;0;1,195826
"Male";"United States";20;"Employed part-time";"Data Scientist";"Python";"Master's degree";"Computer Science";92000;"";80;10;0;5;5;0;NA
"Female";"France";28;"Employed full-time";"Data Analyst";"R";"Master's degree";"Mathematics or statistics";38000;"";70;10;5;10;5;0;NA
"Male";"United States";52;"Independent contractor, freelancer, or self-employed";"Scientist/Researcher";"Python";"Master's degree";"Biology";140000;"USD";50;30;0;10;10;0;1
"Male";"United States";35;"Employed full-time";"Data Scientist";"Python";"Doctoral degree";"Biology";160000;"USD";66;15;15;2;2;0;1
"Male";"United States";28;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"Bachelor's degree";"A social science";25000;"USD";30;15;0;15;40;0;1
"Male";"United States";24;"Employed part-time";"Business Analyst";"R";"Bachelor's degree";"Mathematics or statistics";52000;"";65;10;5;15;5;0;NA
"Male";"Czech Republic";25;"Employed full-time";"Other";"R";"Master's degree";"Mathematics or statistics";25000;"CZK";70;20;5;3;2;0;0,04582
"Female";"United States";28;"Employed full-time";"Engineer";"Python";"Master's degree";"Electrical Engineering";80000;"USD";40;40;0;20;0;0;1
"Male";"United States";43;"Employed full-time";"Engineer";"R";"Master's degree";"Electrical Engineering";120000;"";40;40;0;20;0;0;NA
"Male";"Poland";26;"Employed full-time";"Data Scientist";"R";"Master's degree";"Mathematics or statistics";96;"PLN";50;20;0;15;15;0;0,281104
"Male";"France";30;"Employed full-time";"Other";"Python";"Doctoral degree";"Biology";33000;"EUR";35;15;10;15;25;0;1,195826
"Male";"Czech Republic";30;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"Master's degree";"Computer Science";1400000;"CZK";10;30;10;20;30;0;0,04582
"Male";"United States";26;"Employed full-time";"Data Analyst";"Python";"Bachelor's degree";"Mathematics or statistics";85000;"USD";50;20;10;10;10;0;1
"Male";"United States";39;"Employed full-time";"Software Developer/Software Engineer";"Python";"I prefer not to answer";"";180000;"USD";50;30;5;15;0;0;1
"Male";"Hungary";37;"Independent contractor, freelancer, or self-employed";"Software Developer/Software Engineer";"Python";"Some college/university study without earning a bachelor's degree";"Information technology, networking, or system administration";18000;"";15;5;10;20;50;0;NA
"Male";"United Kingdom";23;"Employed full-time";"Data Analyst";"Python";"Master's degree";"Other";42500;"GBP";30;35;15;10;10;0;1,324188
"Female";"Spain";24;"Employed full-time";"Data Scientist";"R";"Master's degree";"Mathematics or statistics";14000;"";60;20;5;5;10;0;NA
"Male";"Australia";36;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Mathematics or statistics";109500;"";30;5;10;10;5;40;NA
"Male";"Russia";34;"Independent contractor, freelancer, or self-employed";"Researcher";"Python";"Professional degree";"";3600000;"RUB";50;35;5;5;5;0;0,017402
"Male";"United States";26;"Employed full-time";"Other";"R";"Master's degree";"Other";80000;"USD";90;5;0;3;2;0;1
"Male";"South Africa";24;"Employed full-time";"Data Scientist";"Python";"Bachelor's degree";"Electrical Engineering";360000;"ZAR";30;30;20;10;10;0;0,077002
"Male";"Canada";52;"Employed full-time";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Computer Science";90000;"USD";60;20;0;20;0;0;1
"Male";"Japan";48;"Independent contractor, freelancer, or self-employed";"Software Developer/Software Engineer";"Python";"Master's degree";"Engineering (non-computer focused)";0;"JPY";90;10;0;0;0;0;0,009108
"Male";"United States";42;"Employed full-time";"Data Scientist";"Python";"Bachelor's degree";"Electrical Engineering";180000;"USD";40;20;15;15;10;0;1
"Female";"New Zealand";28;"Employed part-time";"Machine Learning Engineer";"Python";"Master's degree";"Computer Science";0;"";30;30;10;10;20;0;NA
"Male";"Russia";26;"Independent contractor, freelancer, or self-employed";"Machine Learning Engineer";"Python";"Bachelor's degree";"Computer Science";60000;"RUB";20;50;10;10;10;0;0,017402
"Male";"United States";27;"Employed full-time";"Data Scientist";"SQL";"Master's degree";"Management information systems";155000;"USD";20;45;20;10;5;0;1
"Male";"India";25;"Employed full-time";"Data Scientist";"R";"Bachelor's degree";"Other";1200000;"INR";50;25;15;5;5;0;0,01562
"Male";"United States";26;"Employed full-time";"Data Scientist";"SQL";"Bachelor's degree";"";110000;"";30;5;5;30;30;0;NA
"Male";"Australia";38;"Employed full-time";"Software Developer/Software Engineer";"Python";"Doctoral degree";"A humanities discipline";3e+05;"AUD";20;5;10;35;30;0;0,80231
"Female";"United States";25;"Employed full-time";"Scientist/Researcher";"Python";"Doctoral degree";"Electrical Engineering";30000;"USD";20;20;20;20;20;0;1
"Male";"South Korea";27;"Employed full-time";"Business Analyst";"SQL";"Bachelor's degree";"Mathematics or statistics";4e+07;"KRW";40;10;20;20;10;0;0,000886
"Male";"Other";28;"Independent contractor, freelancer, or self-employed";"Engineer";"Python";"Master's degree";"Computer Science";30000;"PEN";30;40;30;0;0;0;0,308962
"Male";"United States";32;"Employed full-time";"Other";"R";"Doctoral degree";"Computer Science";87000;"";50;50;0;0;0;0;NA
"Male";"United States";31;"Employed full-time";"Scientist/Researcher";"Python";"Doctoral degree";"Physics";49000;"USD";60;10;2;15;13;0;1
"Male";"Russia";22;"Independent contractor, freelancer, or self-employed";"Other";"Python";"Bachelor's degree";"Computer Science";18000;"USD";37;23;13;12;15;0;1
"Male";"New Zealand";58;"Employed full-time";"Data Scientist";"Python";"Doctoral degree";"";120000;"NZD";30;10;50;10;0;0;0,727801
"Male";"Other";44;"Independent contractor, freelancer, or self-employed";"Data Scientist";"R";"Master's degree";"Computer Science";40000;"EUR";30;40;10;10;10;0;1,195826
"Male";"Chile";30;"Employed full-time";"Machine Learning Engineer";"Python";"Doctoral degree";"Electrical Engineering";2e+06;"CLP";40;40;10;10;0;0;0,001606
"Male";"Colombia";25;"Employed full-time";"Machine Learning Engineer";"";"Bachelor's degree";"Computer Science";4e+06;"COP";60;20;10;0;10;0;0,000342
"Male";"United States";37;"Employed full-time";"Data Analyst";"R";"Master's degree";"Physics";180000;"";30;10;10;30;20;0;NA
"Male";"Mexico";21;"Employed full-time";"Engineer";"Other";"Bachelor's degree";"Other";30000;"MXN";40;30;10;10;10;0;0,056414
"Male";"United States";27;"Employed full-time";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Mathematics or statistics";115000;"USD";55;20;10;10;5;0;1
"Male";"United States";31;"Employed full-time";"Data Scientist";"R";"Professional degree";"";135000;"USD";25;20;20;10;25;0;1
"Female";"Australia";35;"Employed full-time";"Data Analyst";"SAS";"Master's degree";"A humanities discipline";75000;"";90;0;0;5;5;0;NA
"Male";"United States";36;"Employed full-time";"Data Scientist";"Scala";"Master's degree";"A social science";92000;"";60;10;10;10;10;0;NA
"A different identity";"United States";37;"Employed full-time";"Software Developer/Software Engineer";"C/C++/C#";"Master's degree";"Computer Science";135000;"USD";30;10;10;25;25;0;1
"Female";"United States";25;"Employed full-time";"Data Analyst";"Python";"Master's degree";"Mathematics or statistics";50000;"USD";20;20;0;30;30;0;1
"Male";"United States";29;"Employed full-time";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Computer Science";470000;"USD";0;50;20;20;10;0;1
"Male";"Brazil";29;"Employed full-time";"Machine Learning Engineer";"Python";"Professional degree";"";96000;"BRL";70;0;0;20;10;0;0,32135
"Female";"United States";28;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Mathematics or statistics";12000;"";40;30;20;10;0;0;NA
"Male";"Italy";32;"Employed full-time";"Other";"Matlab";"Master's degree";"Mathematics or statistics";40000;"EUR";30;20;20;20;10;0;1,195826
"Male";"France";53;"Independent contractor, freelancer, or self-employed";"Statistician";"R";"Master's degree";"Mathematics or statistics";60000;"EUR";40;20;10;15;15;0;1,195826
"Male";"United States";35;"Employed full-time";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Computer Science";173000;"";60;10;20;5;5;0;NA
"Male";"United Kingdom";31;"Employed full-time";"Scientist/Researcher";"Python";"Master's degree";"Computer Science";31000;"GBP";30;25;5;10;5;25;1,324188
"Male";"Ukraine";22;"Employed full-time";"Data Analyst";"Python";"Master's degree";"Mathematics or statistics";17200;"USD";10;50;20;10;10;0;1
"Male";"Ireland";27;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Mathematics or statistics";60000;"EUR";5;70;15;0;10;0;1,195826
"Male";"Portugal";29;"Employed full-time";"Scientist/Researcher";"Python";"Doctoral degree";"Computer Science";12000;"EUR";30;50;0;20;0;0;1,195826
"Female";"Singapore";27;"Employed full-time";"Data Scientist";"Python";"Doctoral degree";"Computer Science";60000;"";35;45;5;10;5;0;NA
"Female";"United States";48;"Employed full-time";"Predictive Modeler";"Python";"Master's degree";"Engineering (non-computer focused)";130000;"USD";60;20;10;5;5;0;1
"Male";"United States";57;"Independent contractor, freelancer, or self-employed";"Business Analyst";"Python";"Doctoral degree";"Psychology";125000;"";60;5;10;10;15;0;NA
"Male";"Brazil";34;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Other";277000;"BRL";50;10;20;10;10;0;0,32135
"Male";"United States";37;"Independent contractor, freelancer, or self-employed";"Data Scientist";"Python";"Master's degree";"A humanities discipline";60000;"USD";40;30;5;10;15;0;1
"Male";"United States";60;"Independent contractor, freelancer, or self-employed";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Other";140000;"USD";40;30;0;20;10;0;1
"Male";"United States";47;"Employed full-time";"Other";"Python";"Bachelor's degree";"Computer Science";178000;"USD";20;10;60;0;10;0;1
"Male";"Australia";39;"Employed full-time";"Predictive Modeler";"R";"Bachelor's degree";"Mathematics or statistics";80000;"";50;20;10;0;20;0;NA
"Male";"United States";25;"Employed full-time";"Other";"";"Bachelor's degree";"Mathematics or statistics";1e+05;"USD";70;15;5;5;5;0;1
"Male";"Brazil";24;"Employed part-time";"Engineer";"Python";"Bachelor's degree";"Engineering (non-computer focused)";24000;"BRL";10;50;10;20;10;0;0,32135
"Male";"United States";40;"Employed full-time";"DBA/Database Engineer";"Python";"Doctoral degree";"Computer Science";150000;"USD";10;10;10;10;60;0;1
"Male";"Argentina";25;"Employed full-time";"Computer Scientist";"Python";"Bachelor's degree";"Computer Science";24000;"ARS";40;30;10;15;5;0;0,058444
"Male";"United States";25;"Employed full-time";"Other";"Python";"Master's degree";"Biology";85000;"USD";45;25;5;15;10;0;1
"Male";"United States";56;"Employed full-time";"Business Analyst";"Python";"Bachelor's degree";"Engineering (non-computer focused)";107000;"USD";20;20;10;25;25;0;1
"Male";"Hong Kong";36;"Employed full-time";"Predictive Modeler";"Python";"Doctoral degree";"Computer Science";6e+05;"HKD";0;50;0;20;30;0;0,127998
"Female";"United States";33;"Employed full-time";"Data Scientist";"R";"Master's degree";"A social science";90000;"";25;35;15;15;10;0;NA
"Male";"United States";52;"Employed part-time";"Data Scientist";"Python";"Master's degree";"Computer Science";40000;"USD";35;20;10;20;15;0;1
"Male";"India";40;"Employed full-time";"Statistician";"R";"Master's degree";"Mathematics or statistics";75000;"";20;20;20;10;30;0;NA
"Male";"United States";24;"Employed full-time";"Engineer";"Matlab";"Bachelor's degree";"Electrical Engineering";67500;"USD";40;10;20;10;20;0;1
"Male";"South Korea";34;"Employed part-time";"Scientist/Researcher";"R";"Doctoral degree";"Computer Science";3000;"";40;20;10;10;20;0;NA
"Male";"Canada";24;"Employed full-time";"Business Analyst";"Python";"Bachelor's degree";"A social science";75000;"CAD";20;15;15;20;30;0;0,823688
"Male";"India";47;"Independent contractor, freelancer, or self-employed";"Statistician";"R";"Doctoral degree";"Mathematics or statistics";1200000;"INR";0;70;20;5;5;0;0,01562
"Male";"United Kingdom";24;"Employed full-time";"Data Analyst";"Python";"Master's degree";"Electrical Engineering";42000;"GBP";60;20;5;10;5;0;1,324188
"Male";"United States";23;"Employed full-time";"Data Analyst";"Python";"Bachelor's degree";"Other";58000;"USD";60;5;5;20;10;0;1
"Male";"United States";23;"Employed full-time";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Computer Science";1e+05;"USD";55;0;0;25;20;0;1
"Male";"Other";25;"Employed full-time";"Business Analyst";"Python";"Bachelor's degree";"Engineering (non-computer focused)";25000;"USD";60;10;10;10;10;0;1
"Male";"United States";29;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Mathematics or statistics";105000;"USD";50;20;10;10;10;0;1
"Male";"United States";49;"Independent contractor, freelancer, or self-employed";"Data Miner";"Matlab";"Master's degree";"";2e+05;"USD";75;15;3;2;5;0;1
"Male";"United States";35;"Employed full-time";"Other";"Python";"Master's degree";"Computer Science";60000;"USD";20;50;0;20;10;0;1
"Male";"People 's Republic of China";28;"Employed full-time";"Data Analyst";"R";"Master's degree";"A health science";180000;"CNY";70;0;10;10;10;0;0,153
"Male";"United States";40;"Employed full-time";"Software Developer/Software Engineer";"Scala";"Master's degree";"Physics";125000;"USD";10;10;5;20;20;35;1
"Male";"Portugal";27;"Employed full-time";"Programmer";"R";"Master's degree";"Computer Science";17000;"EUR";10;40;20;30;0;0;1,195826
"Male";"Canada";46;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Electrical Engineering";154000;"CAD";70;20;0;5;5;0;0,823688
"Male";"Australia";30;"Employed full-time";"Data Scientist";"R";"Master's degree";"Information technology, networking, or system administration";125000;"AUD";50;20;10;10;10;0;0,80231
"Male";"United States";36;"Employed full-time";"Software Developer/Software Engineer";"Python";"Master's degree";"A humanities discipline";70000;"USD";0;0;0;75;25;0;1
"Male";"United States";32;"Employed full-time";"Data Scientist";"R";"Bachelor's degree";"Physics";78000;"USD";70;15;5;5;5;0;1
"Male";"United States";48;"Independent contractor, freelancer, or self-employed";"Data Scientist";"R";"Doctoral degree";"A social science";115000;"";40;15;5;30;10;0;NA
"Male";"United States";25;"Employed full-time";"Data Scientist";"R";"Master's degree";"";71000;"";70;15;2;3;10;0;NA
"Male";"People 's Republic of China";28;"Employed full-time";"DBA/Database Engineer";"Python";"Bachelor's degree";"Computer Science";3e+05;"CNY";40;30;10;10;10;0;0,153
"Male";"Colombia";28;"Employed full-time";"Predictive Modeler";"R";"Professional degree";"";20000;"";10;15;10;15;50;0;NA
"Male";"Brazil";26;"Employed full-time";"Software Developer/Software Engineer";"Python";"Bachelor's degree";"Computer Science";24000;"BRL";45;20;10;20;5;0;0,32135
"Male";"United States";36;"Employed full-time";"Data Analyst";"Python";"Some college/university study without earning a bachelor's degree";"Information technology, networking, or system administration";86000;"";0;0;0;100;0;0;NA
"Male";"Russia";30;"Employed full-time";"Machine Learning Engineer";"Python";"Doctoral degree";"Mathematics or statistics";65000;"USD";30;30;30;5;5;0;1
"Male";"Other";26;"Employed full-time";"Data Scientist";"R";"Master's degree";"";24;"";20;20;20;20;20;0;NA
"Male";"United States";26;"Employed full-time";"Business Analyst";"Python";"Bachelor's degree";"A humanities discipline";35000;"USD";40;0;0;20;40;0;1
"Male";"United States";33;"Employed full-time";"Business Analyst";"Python";"Master's degree";"A health science";87645;"";70;10;5;10;5;0;NA
"Male";"United States";28;"Employed full-time";"Scientist/Researcher";"Python";"Doctoral degree";"Physics";121000;"USD";50;10;5;5;30;0;1
"Male";"United States";33;"Employed full-time";"Other";"SQL";"I did not complete any formal education past high school";"";40000;"";100;0;0;0;0;0;NA
"Male";"South Korea";53;"Employed full-time";"Researcher";"Python";"Doctoral degree";"Mathematics or statistics";80000;"USD";40;30;0;10;20;0;1
"Male";"Australia";36;"Employed full-time";"Business Analyst";"Python";"Bachelor's degree";"Information technology, networking, or system administration";150000;"AUD";20;30;15;15;20;0;0,80231
"Female";"United States";36;"Employed full-time";"Data Scientist";"Python";"Doctoral degree";"Psychology";125000;"";60;10;10;10;10;0;NA
"Male";"United States";23;"Employed full-time";"Business Analyst";"R";"Bachelor's degree";"";85000;"USD";50;0;0;50;0;0;1
"Female";"United States";24;"Employed full-time";"Data Analyst";"Python";"Bachelor's degree";"Mathematics or statistics";65000;"";70;10;5;10;5;0;NA
"Female";"Australia";23;"Employed full-time";"Data Analyst";"SQL";"Bachelor's degree";"Other";78000;"AUD";50;5;20;15;10;0;0,80231
"Male";"United States";25;"Employed part-time";"Scientist/Researcher";"Python";"Master's degree";"Mathematics or statistics";80000;"USD";20;20;40;10;10;0;1
"Male";"Colombia";29;"Employed full-time";"Data Analyst";"R";"Master's degree";"Mathematics or statistics";8e+07;"COP";30;20;10;10;30;0;0,000342
"Female";"United States";22;"Employed full-time";"Software Developer/Software Engineer";"SQL";"Bachelor's degree";"Computer Science";45000;"";50;0;0;40;10;0;NA
"Male";"United States";26;"Employed full-time";"Data Analyst";"R";"Master's degree";"";59000;"USD";50;20;5;5;20;0;1
"Male";"United States";28;"Employed full-time";"Data Scientist";"Python";"Bachelor's degree";"A social science";94000;"USD";50;20;5;15;10;0;1
"Female";"United States";37;"Employed full-time";"Data Scientist";"SQL";"Doctoral degree";"Other";93000;"";70;0;0;10;20;0;NA
"Male";"United States";41;"Employed full-time";"Software Developer/Software Engineer";"Python";"Master's degree";"Electrical Engineering";80000;"USD";40;30;5;5;20;0;1
"Male";"Taiwan";30;"Employed full-time";"Other";"Python";"Bachelor's degree";"Management information systems";8e+05;"TWD";10;75;0;0;16;0;0,033304
"Female";"United States";42;"Employed full-time";"Data Analyst";"Python";"Bachelor's degree";"A humanities discipline";75000;"USD";80;0;0;0;20;0;1
"Male";"Colombia";26;"Employed full-time";"Data Scientist";"R";"Professional degree";"";3600000;"COP";60;15;10;15;0;0;0,000342
"Male";"United States";47;"Employed full-time";"Software Developer/Software Engineer";"Scala";"Bachelor's degree";"Other";165000;"USD";0;25;65;10;0;0;1
"Male";"Canada";31;"Employed full-time";"Data Analyst";"R";"Bachelor's degree";"";126850;"";20;5;5;5;65;0;NA
"Male";"United States";28;"Employed full-time";"Business Analyst";"Python";"Master's degree";"Fine arts or performing arts";85000;"USD";15;10;45;15;15;0;1
"Male";"United States";36;"Employed full-time";"Data Scientist";"Python";"Doctoral degree";"Psychology";226000;"USD";0;0;10;15;75;0;1
"Male";"Canada";37;"Employed full-time";"Other";"SQL";"Master's degree";"";75000;"CAD";20;30;20;0;30;0;0,823688
"Male";"United States";32;"Employed full-time";"Predictive Modeler";"R";"Master's degree";"A social science";140000;"";20;30;10;10;30;0;NA
"Male";"Ireland";42;"Employed full-time";"DBA/Database Engineer";"SQL";"Master's degree";"Engineering (non-computer focused)";1e+05;"EUR";50;0;10;10;0;30;1,195826
"Male";"United States";41;"Employed full-time";"Other";"Python";"Master's degree";"Psychology";2e+05;"USD";0;30;10;0;10;50;1
"Female";"United States";43;"Employed full-time";"Data Analyst";"SQL";"Bachelor's degree";"A social science";80000;"USD";0;0;0;0;100;0;1
"Male";"New Zealand";28;"Independent contractor, freelancer, or self-employed";"Machine Learning Engineer";"Python";"Bachelor's degree";"A health science";80000;"NZD";40;20;20;5;15;0;0,727801
"Male";"United States";45;"Employed full-time";"Data Scientist";"Python";"Master's degree";"Mathematics or statistics";130000;"AMD";60;15;5;10;10;0;0,00209
"Male";"Canada";23;"Employed full-time";"Other";"Python";"Bachelor's degree";"Mathematics or statistics";70000;"CAD";35;15;20;20;10;0;0,823688
"Male";"United States";25;"Employed full-time";"Computer Scientist";"Python";"Master's degree";"Computer Science";95000;"USD";50;20;5;5;20;0;1
